organ,organ_ID,anatomical_structure_of,source_spatial_entity,node_name,label,OntologyID,representation_of,svg file of single 2DFTU,exist_asctb,type,REF/1,REF/1/DOI,REF/1/NOTES,Inset #,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUOuterMedullaryCollectingDuct,#2DRefObjects,Outer_Medullary_Collecting_Duct_Intercalted_Cell_Type_A_5,kidney outer medulla collecting duct intercalated cell,CL:1000717,http://purl.obolibrary.org/obo/CL_1000717,outer_medullary_collecting_duct,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUOuterMedullaryCollectingDuct,#2DRefObjects,Outer_Medullary_Collecting_Duct_Principal_Cell_1,kidney outer medulla collecting duct principal cell,CL:1000716,http://purl.obolibrary.org/obo/CL_1000716,outer_medullary_collecting_duct,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUOuterMedullaryCollectingDuct,#2DRefObjects,Outer_Medullary_Collecting_Duct_Principal_Cell_2,kidney outer medulla collecting duct principal cell,CL:1000716,http://purl.obolibrary.org/obo/CL_1000716,outer_medullary_collecting_duct,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUOuterMedullaryCollectingDuct,#2DRefObjects,Outer_Medullary_Collecting_Duct_Principal_Cell_3,kidney outer medulla collecting duct principal cell,CL:1000716,http://purl.obolibrary.org/obo/CL_1000716,outer_medullary_collecting_duct,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUOuterMedullaryCollectingDuct,#2DRefObjects,Outer_Medullary_Collecting_Duct_Principal_Cell_4,kidney outer medulla collecting duct principal cell,CL:1000716,http://purl.obolibrary.org/obo/CL_1000716,outer_medullary_collecting_duct,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUOuterMedullaryCollectingDuct,#2DRefObjects,Outer_Medullary_Collecting_Duct_Principal_Cell_5,kidney outer medulla collecting duct principal cell,CL:1000716,http://purl.obolibrary.org/obo/CL_1000716,outer_medullary_collecting_duct,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUOuterMedullaryCollectingDuct,#2DRefObjects,Outer_Medullary_Collecting_Duct_Principal_Cell_6,kidney outer medulla collecting duct principal cell,CL:1000716,http://purl.obolibrary.org/obo/CL_1000716,outer_medullary_collecting_duct,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUOuterMedullaryCollectingDuct,#2DRefObjects,Outer_Medullary_Collecting_Duct_Principal_Cell_7,kidney outer medulla collecting duct principal cell,CL:1000716,http://purl.obolibrary.org/obo/CL_1000716,outer_medullary_collecting_duct,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUOuterMedullaryCollectingDuct,#2DRefObjects,Outer_Medullary_Collecting_Duct_Principal_Cell_8,kidney outer medulla collecting duct principal cell,CL:1000716,http://purl.obolibrary.org/obo/CL_1000716,outer_medullary_collecting_duct,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUOuterMedullaryCollectingDuct,#2DRefObjects,Outer_Medullary_Collecting_Duct_Principal_Cell_9,kidney outer medulla collecting duct principal cell,CL:1000716,http://purl.obolibrary.org/obo/CL_1000716,outer_medullary_collecting_duct,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUOuterMedullaryCollectingDuct,#2DRefObjects,Outer_Medullary_Collecting_Duct_Principal_Cell_10,kidney outer medulla collecting duct principal cell,CL:1000716,http://purl.obolibrary.org/obo/CL_1000716,outer_medullary_collecting_duct,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUOuterMedullaryCollectingDuct,#2DRefObjects,Endothelium_Peritubular_Capillary,peritubular capillary endothelial cell,CL:1001033,http://purl.obolibrary.org/obo/CL_1001033,outer_medullary_collecting_duct,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUInnerMedullaryCollectingDuct,#2DRefObjects,Inner_Medullary_collecting_Duct_1,kidney inner medulla collecting duct,CL:1000718,http://purl.obolibrary.org/obo/CL_1000718,inner_medullary_collecting_duct,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUInnerMedullaryCollectingDuct,#2DRefObjects,Inner_Medullary_collecting_Duct_2,kidney inner medulla collecting duct,CL:1000718,http://purl.obolibrary.org/obo/CL_1000718,inner_medullary_collecting_duct,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUInnerMedullaryCollectingDuct,#2DRefObjects,Inner_Medullary_collecting_Duct_3,kidney inner medulla collecting duct,CL:1000718,http://purl.obolibrary.org/obo/CL_1000718,inner_medullary_collecting_duct,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUInnerMedullaryCollectingDuct,#2DRefObjects,Inner_Medullary_collecting_Duct_4,kidney inner medulla collecting duct,CL:1000718,http://purl.obolibrary.org/obo/CL_1000718,inner_medullary_collecting_duct,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUInnerMedullaryCollectingDuct,#2DRefObjects,Inner_Medullary_collecting_Duct_5,kidney inner medulla collecting duct,CL:1000718,http://purl.obolibrary.org/obo/CL_1000718,inner_medullary_collecting_duct,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUInnerMedullaryCollectingDuct,#2DRefObjects,Inner_Medullary_collecting_Duct_6,kidney inner medulla collecting duct,CL:1000718,http://purl.obolibrary.org/obo/CL_1000718,inner_medullary_collecting_duct,1,CT,,,,,,,,,,,,,,,,,,,,
